scenario_label,scenario,mode_used,accuracy,bleu,rouge_l,bert_score_f1,latency_ms,prompt_tokens,response_tokens,samples
RAG Dual,3,RAG Dual (Docs + Telemetria),0.0,31.1283712925523,25.65102338776061,74.63403684752328,9574.688571428573,1906.5,924.3571428571429,14
RAG Estático,2,RAG Estático (Docs),0.0,27.677193338419404,19.749612804698664,72.9999188865934,12577.363571428572,1834.5,1200.357142857143,14
Zero-Shot,1,Baseline (Zero-Shot),0.0,38.86390626250128,21.515818700396448,71.19822253783543,5050.6866666666665,530.0,553.75,12
