scenario,mode_used,accuracy,bleu,rouge_l,bert_score_f1,latency_ms,prompt_tokens,response_tokens,samples
1,Baseline (Zero-Shot),0.0,31.980030894640922,16.70397909149095,56.63074553012848,2005.00375,531.0,434.375,8
2,RAG Estático (Docs),0.0,23.665509289558443,17.902486456408848,52.336689829826355,6008.361111111111,1824.7777777777778,875.5555555555555,9
3,RAG Dual (Docs + Telemetria),0.0,27.389965710814202,24.840319676634227,352.76422501541674,3837.8190909090913,1771.4545454545455,636.9,11
